69	奈良俣ダム	1.0 	"奈良俣ダム管理所
"	"8:30～17:00（土、日、祝日も含む）
管理所玄関のインターホンを押してください
（冬期は雪のため立入をお断りしています。詳細は沼田総合管理所ホームページをご確認下さい。）
冬期休館期間：１１月中旬～４月下旬
"		群馬県利根郡みなかみ町藤原字洗ノ沢6322-24	http://www.water.go.jp/kanto/numata/index.html
70	矢木沢ダム	1.0 	矢木沢ダム管理所	"8:30～17:00（土、日、祝日も含む）
（冬期は雪のため立入をお断りしています。詳細は沼田総合管理所ホームページをご確認下さい。）
冬期休館期間：１１月中旬～５月上旬"		群馬県利根郡みなかみ町藤原字矢木沢6381-4	http://www.water.go.jp/kanto/numata/index.html
71	霧積ダム	1.0	霧積ダム管理事務所	10:00～15:00（土・日・祝日除く）		群馬県安中市松井田町坂本１７６８－１３３	http://www.pref.gunma.jp/
72	桐生川ダム	1.0	桐生川ダム管理事務所	10:00～16:00（土・日・祝日除く）		群馬県桐生市梅田町４丁目１７８１	http://www.pref.gunma.jp/
73	道平川ダム	1.0	道平川ダム管理事務所	10:30～15:30（土・日・祝日除く）		群馬県甘楽郡下仁田町大字南野牧字上の峰７９１４	http://www.kendoseibi.pref.gunma.jp/chiiki/tomioka/doudam.htm
74	屋敷川取水ダム	1.0	道平川ダム管理事務所	10:30～15:30（土・日・祝日除く）		群馬県甘楽郡下仁田町大字南野牧字上の峰７９１４	http://www.kendoseibi.pref.gunma.jp/chiiki/tomioka/doudam.htm
75	市野萱川取水ダム	1.0	道平川ダム管理事務所	10:30～15:30（土・日・祝日除く）		群馬県甘楽郡下仁田町大字南野牧字上の峰７９１４	http://www.kendoseibi.pref.gunma.jp/chiiki/tomioka/doudam.htm
76	相沢川取水ダム	1.0 	道平川ダム管理事務所	10:30～15:30（土・日・祝日除く）		群馬県甘楽郡下仁田町大字南野牧字上の峰７９１４	http://www.kendoseibi.pref.gunma.jp/chiiki/tomioka/doudam.htm
77	塩沢ダム	1.0 	塩沢ダム管理事務所	10:00～16:00（火・土・日・祝日除く）		群馬県多野郡神流町大字塩沢字大松甲	http://www.pref.gunma.jp/
			藤岡土木事務所万場事業所	9:00～17:00（土・日・祝日除く）		群馬県多野郡神流町大字万場２１－３	http://www.pref.gunma.jp/
78	坂本ダム	1.0	霧積ダム管理事務所	10:00～15:00（土・日・祝日除く）		群馬県安中市松井田町坂本１７６８－１３３	http://www.pref.gunma.jp/
79	四万川ダム	1.1	四万川ダム管理事務所	10:00～16:00（土・日・祝日除く）		群馬県吾妻郡中之条町大字四万４４００－２８	http://www.pref.gunma.jp/
80	大仁田ダム	1.0 	大仁田ダム管理所	10:30～15:30（土・日・祝日除く）		群馬県甘楽郡南牧村大仁田１０２３－１	http://www.kendoseibi.pref.gunma.jp/chiiki/tomioka/oonitadam.htm
81	中之条ダム	1.0 	①吾妻発電事務所（通年）　　②中之条ダム管理所（6月～9月のみ）	"①9：00～1６：00
（土・日・祝日および年末年始除く）
②9：00～16：00"		①群馬県吾妻郡中之条町大字折田９１７　　　②群馬県吾妻郡中之条町大字四万殿界戸３１－４	http://www.pref.gunma.jp/06/q1300021.html
82	平出ダム	1.0 	平出ダム管理所	"9：00～16：00
（土・日・祝日および年末年始除く）"		群馬県沼田市白沢町平出１４８３－２	http://www.pref.gunma.jp/06/q1300020.html
83	神水ダム	1.0 	神水ダム管理所	"9：00～16：00
（土・日・祝日および年末年始除く）"		群馬県藤岡市鬼石５９４－１	http://www.pref.gunma.jp/06/q1300022.html
84	黒坂石ダム	1.0 	渡良瀬発電事務所	"9：00～1６：00
（土・日・祝日および年末年始除く）"		群馬県みどり市大間々町桐原１１６３	http://www.pref.gunma.jp/06/q1300023.html
85	高津戸ダム	1.0 	渡良瀬発電事務所	"9：00～1６：00
（土・日・祝日および年末年始除く）"		群馬県みどり市大間々町桐原１１６３	http://www.pref.gunma.jp/06/q1300019.html
86	二瀬ダム	1.1 	二瀬ダム管理所	8:30～17:15（土・日・祝日を含む）	埼玉県	埼玉県秩父市大滝３９３１－１	http://www.ktr.mlit.go.jp/futase/
87	荒川貯水池	1.0 	西浦和出張所	8:30～17:15（土・日・祝日は除く）		埼玉県さいたま市桜区田島8-17-1	http://www.ktr.mlit.go.jp/arajo/
			彩湖自然学習センター	"10:00～16:30（休館日除く）
休館日：第２・第４・第５月曜日（この日が祝日、振替休日の場合は開館）、月末　館内整理日(この日が、土日曜日、休日の場合は開館）、年末年始 12月29日～翌年1月4日まで
"		埼玉県戸田市大字内谷2887	http://www.city.toda.saitama.jp/433/432448.html
88	下久保ダム	2.0 	下久保ダム管理所	8:30～17:00（土・日・祝日を含む）		埼玉県児玉郡神川町大字矢納1356-3	http://www.water.go.jp/kanto/simokubo/index.html
